"COUNTRY";"STATE";"CITY";"LONGITUDE";"LATITUDE";"PLATENUM";"ZIP"
"DE";"Sachsen-Anhalt";"Huy";11;"52.0333";"HBS";38838
"DE";"Bayern";"Adlkofen";01.12.67;"48.55";"LA";84166
"DE";"Mecklenburg-Vorpommern";"Admannshagen-Bargeshagen";01.11.33;"54.1167";"DBR";18211
"DE";"Sachsen";"Adorf";01.12.67;"50.3167";"V";8626
"DE";"Schleswig-Holstein";"Aebtissinwisch";"9.28333";"53.9667";"IZ";25572
"DE";"Niedersachsen";"Aerzen";"9.26667";"52.0333";"HM";31855
"DE";"Baden-Württemberg";"Affalterbach";"9.31667";"48.9167";"LB";71563
"DE";"Bayern";"Affing";01.10.33;"48.4667";"AIC";86444
"DE";"Niedersachsen";"Affinghausen";"8.88333";"52.7833";"DH";27257
"DE";"Rheinland-Pfalz";"Affler";01.06.15;"50.0167";"BIT";54689
"DE";"Niedersachsen";"Agathenburg";"9.53333";"53.5667";"STD";21684
"DE";"Schleswig-Holstein";"Agethorst";"9.43333";"54.0167";"IZ";25560
"DE";"Baden-Württemberg";"Aglasterhausen";"8.98694";"49.3569";"MOS";74858
"DE";"Bayern";"Aham";01.12.67;"48.5333";"LA";84168
"DE";"Nordrhein-Westfalen";"Ahaus";"Tirol";"52.0667";"BOR";48683
"DE";"Niedersachsen";"Ahausen";"9.31667";"53.0667";"ROW";27367
"DE";"Mecklenburg-Vorpommern";"Ahlbeck";14.02.07;"53.6667";"UER";17375
"DE";"Mecklenburg-Vorpommern";"Ahlbeck";14.02.07;"53.9333";"OVP";17419
"DE";"Niedersachsen";"Ahlden (Aller)";01.09.55;"52.7667";"SFA";29693
"DE";"Schleswig-Holstein";"Ahlefeld";"9.66667";"54.4";"RD";24811
"DE";"Nordrhein-Westfalen";"Ahlen";07.09.07;"51.7667";"WAF";59227,59
"DE";"Niedersachsen";"Ahlerstedt";01.09.45;"53.4";"STD";21702
"DE";"Sachsen-Anhalt";"Ahlsdorf";01.11.67;"51.55";"ML";6313
"DE";"Thüringen";"Ahlstädt";01.10.33;"50.5333";"HBN";98553
"DE";"Sachsen-Anhalt";"Ahlum";11;"52.6833";"SAW";38489
"DE";"Hessen";"Ahnatal";"9.38333";"51.35";"KS";34292
"DE";"Schleswig-Holstein";"Ahneby";"9.73333";"54.7167";"SL";24996
"DE";"Niedersachsen";"Ahnsbeck";10.03.07;"52.6167";"CE";29353
"DE";"Niedersachsen";"Ahnsen";01.09.67;"52.2562";"SHG";31708
"DE";"Bayern";"Aholfing";01.12.67;"48.95";"SR";94345
"DE";"Bayern";"Aholming";01.12.67;"48.7333";"DEG";94527
"DE";"Bayern";"Ahorn";01.10.95;"50.2333";"CO";96482
"DE";"Baden-Württemberg";"Ahorn";"9.52694";"49.5083";"TBB";74744
"DE";"Bayern";"Ahorntal";01.11.33;"49.85";"BT";95491
"DE";"Rheinland-Pfalz";"Ahrbrück";"6.98333";"50.4667";"AW";53506
"DE";"Schleswig-Holstein";"Ahrensbök";01.10.33;"54.0167";"OH";23623
"DE";"Schleswig-Holstein";"Ahrensburg";01.10.25;"53.6833";"OD";22926
"DE";"Brandenburg";"Ahrensfelde";"13.5833";"52.5833";"BAR";16356
"DE";"Mecklenburg-Vorpommern";"Ahrenshagen-Daskow";01.12.67;"54.25";"NVP";18320
