ID;COUNTRY;NAME;OUTPUTDRV;
"DPB";"DE";"Deutsche Post Brief";"shipping_stampit";
"DPP";"DE";"Deutsche Post Paket";"shipping_stampit --packet";
"DPB";"A";"Deutsche Post Brief";"shipping-stampit";
"DPB";"UK";"Deutsche Post Brief";"shipping-stampit";
"DPB";"CH";"Deutsche Post Brief";"shipping-stampit";
"DPB";"SI";"Deutsche Post Brief";"shipping-stampit";
"DPB";"FR";"Deutsche Post Brief";"shipping-stampit";
"DPB";"CZ";"Deutsche Post Brief";"shipping-stampit";
