SQL_ID;PARENT;TYPE;NAME;
"329997";"0";"P";"unsortiert";
"329990";"0";"W";"unsortiert";
"329996";"0";"N";"Nachrichten";
"329995";"0";"N";"Unbekannte Nachrichten";
"329992";"0";"N";"gesendete Nachrichten";
"329994";"0";"N";"Spam";
"329993";"0";"N";"Archiviert";
"329991";"0";"N";"gelöschte Nachrichten";
"32999";"0";"C";"unsortiert";
"32998";"0";"M";"unsortiert";
"32997";"0";"S";"unsortiert";
