"LANGUAGE";"ISO6391";"ISO6392";"DATEFORMAT";"TIMEFORMAT";"STDCURR";"DECSEP";"THOUSEP";"SATUTATION";"COMPCLOSE";"TITLES";"COUNTRY";"DEFAULTLNG";
"Deutsch";"DE";"DEU";"DD.MM.YYYY";"HH:MM";"EUR";;;"LANGUAGES_SATUTATION0.dat";"LANGUAGES_COMPCLOSE0.dat";"LANGUAGES_TITLES0.dat";"DE";"Y";
"English";"EN";"ENG";"YYYY-MM-DD";"HH:MM";"EUR";;;"LANGUAGES_SATUTATION1.dat";"LANGUAGES_COMPCLOSE1.dat";"LANGUAGES_TITLES1.dat";;"N";